date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
2019-05-17,1893.05,1869.0,1910.53,1867.33,4736618,1893.05,1869.0,1910.53,1867.33,4736618,-38.57,-2.0219,"May 17, 19",0.244291
2019-05-20,1852.69,1858.97,1867.78,1835.54,3798198,1852.69,1858.97,1867.78,1835.54,3798198,-10.03,-0.5367,"May 20, 19",0.237614
2019-05-21,1874.79,1857.52,1879.0,1846.0,4005122,1874.79,1857.52,1879.0,1846.0,4005122,-1.45,-0.078,"May 21, 19",0.236648
2019-05-22,1851.78,1859.68,1871.48,1851.0,2936601,1851.78,1859.68,1871.48,1851.0,2936601,2.16,0.1163,"May 22, 19",0.238086
2019-05-23,1836.59,1815.48,1844.0,1804.2,4424265,1836.59,1815.48,1844.0,1804.2,4424265,-44.2,-2.3768,"May 23, 19",0.20866
2019-05-24,1835.89,1823.28,1841.76,1817.85,3369673,1835.89,1823.28,1841.76,1817.85,3369673,7.8,0.4296,"May 24, 19",0.213853
2019-05-28,1832.75,1836.43,1849.26,1827.35,3199965,1832.75,1836.43,1849.26,1827.35,3199965,13.15,0.7212,"May 28, 19",0.222608
2019-05-29,1823.12,1819.19,1830.0,1807.53,4279025,1823.12,1819.19,1830.0,1807.53,4279025,-17.24,-0.9388,"May 29, 19",0.21113
2019-05-30,1825.49,1816.32,1829.47,1807.82,3146850,1825.49,1816.32,1829.47,1807.82,3146850,-2.87,-0.1578,"May 30, 19",0.209219
2019-05-31,1790.01,1775.07,1795.58,1772.7,4618819,1790.01,1775.07,1795.58,1772.7,4618819,-41.25,-2.2711,"May 31, 19",0.181757
2019-06-03,1760.01,1692.69,1766.29,1672.0,9098708,1760.01,1692.69,1766.29,1672.0,9098708,-82.38,-4.6409,"Jun 3, 19",0.126912
2019-06-04,1699.24,1729.56,1730.82,1680.89,5679121,1699.24,1729.56,1730.82,1680.89,5679121,36.87,2.1782,"Jun 4, 19",0.151459
2019-06-05,1749.6,1738.5,1752.0,1715.25,4239782,1749.6,1738.5,1752.0,1715.25,4239782,8.94,0.5169,"Jun 5, 19",0.15741
2019-06-06,1737.71,1754.36,1760.0,1726.13,3689272,1737.71,1754.36,1760.0,1726.13,3689272,15.86,0.9123,"Jun 6, 19",0.167969
2019-06-07,1763.7,1804.03,1806.25,1759.49,4808246,1763.7,1804.03,1806.25,1759.49,4808246,49.67,2.8312,"Jun 7, 19",0.201037
2019-06-10,1822.0,1860.63,1884.87,1818.0,5371007,1822.0,1860.63,1884.87,1818.0,5371007,56.6,3.1374,"Jun 10, 19",0.238719
2019-06-11,1883.25,1863.7,1893.7,1858.0,4042694,1883.25,1863.7,1893.7,1858.0,4042694,3.07,0.165,"Jun 11, 19",0.240763
2019-06-12,1853.98,1855.32,1865.0,1844.38,2678335,1853.98,1855.32,1865.0,1844.38,2678335,-8.38,-0.4496,"Jun 12, 19",0.235184
2019-06-13,1866.72,1870.3,1883.09,1862.22,2795810,1866.72,1870.3,1883.09,1862.22,2795810,14.98,0.8074,"Jun 13, 19",0.245157
2019-06-14,1864.0,1869.67,1876.0,1859.0,2851163,1864.0,1869.67,1876.0,1859.0,2851163,-0.63,-0.0337,"Jun 14, 19",0.244737
